Date,AAPL,MSFT,GOOGL,AMZN,META,JPM,BAC,WFC,GS,C,XOM,CVX,COP,SLB,OXY,JNJ,PFE,UNH,MRK,ABBV,PG,KO,PEP,WMT,COST
2025-08-12,229.0021209716797,525.046142578125,202.7615509033203,221.47000122070312,787.4192504882812,287.3527526855469,46.48735046386719,78.2303695678711,728.710693359375,94.2332763671875,102.85147857666016,148.23165893554688,91.55536651611328,32.06415939331055,43.2554817199707,168.56813049316406,23.437501907348633,254.74742126464844,77.7022705078125,192.6630401611328,151.78427124023438,68.7625961303711,141.27650451660156,102.7608413696289,987.0669555664062
2025-08-13,232.6717529296875,516.4547729492188,201.385498046875,224.55999755859375,777.5316772460938,285.0762634277344,46.23289108276367,76.66536712646484,729.9948120117188,93.16043853759766,104.27606964111328,149.60415649414062,92.8039779663086,32.65794372558594,43.84332275390625,170.1681671142578,23.922414779663086,264.7203063964844,80.0343017578125,195.4078826904297,152.0974578857422,68.51947021484375,143.6620635986328,100.15264892578125,974.71923828125
2025-08-14,232.12330627441406,518.3396606445312,202.3627166748047,230.97999572753906,779.5748901367188,288.6381530761719,46.692867279052734,78.16146850585938,732.4552612304688,93.95768737792969,104.0628662109375,148.92271423339844,92.58135986328125,32.33671951293945,43.8629150390625,170.46084594726562,23.874876022338867,264.40863037109375,80.08268737792969,198.5212860107422,150.46304321289062,67.63453674316406,142.95985412597656,100.0137939453125,971.27392578125
2025-08-15,230.9366455078125,516.0479736328125,203.31996154785156,231.02999877929688,782.664794921875,285.03704833984375,45.93927764892578,75.88778686523438,716.3004150390625,92.21553802490234,104.16068267822266,150.2568359375,92.27163696289062,32.11283493041992,43.70616149902344,172.33404541015625,23.903396606445312,296.0804138183594,81.48578643798828,200.4708251953125,151.06982421875,67.99433898925781,144.6720733642578,99.40247344970703,967.9379272460938
2025-08-18,230.23863220214844,513.0023803710938,202.92111206054688,231.49000549316406,764.8631591796875,286.0575256347656,46.89838409423828,76.22244262695312,716.5357666015625,92.73719787597656,104.38565063476562,149.0762939453125,91.73489379882812,32.414588928222656,43.314266204833984,171.95355224609375,23.836841583251953,300.44354248046875,81.49545288085938,200.3544464111328,152.40084838867188,67.2260971069336,143.85446166992188,100.0982894897461,975.2171020507812
2025-08-19,229.90956115722656,505.73040771484375,200.99661254882812,228.00999450683594,749.0250244140625,285.203857421875,47.05498123168945,76.31101989746094,707.1448364257812,92.26475524902344,105.0703353881836,147.51377868652344,91.50067138671875,32.453529357910156,43.06932830810547,173.46578979492188,24.074542999267578,296.3044128417969,82.18248748779297,199.98587036132812,155.02369689941406,68.19856262207031,146.36505126953125,100.68476867675781,976.7108154296875
2025-08-20,225.3723907470703,501.7125244140625,198.7530059814453,223.80999755859375,745.2772827148438,286.754150390625,47.31922149658203,76.9311294555664,706.4585571289062,91.70372009277344,106.15605926513672,148.69778442382812,92.60343170166016,32.47299575805664,43.37305450439453,174.48040771484375,24.131591796875,292.0191955566406,81.92122650146484,202.85679626464844,156.11004638671875,68.75286102294922,144.989501953125,101.95712280273438,990.3729248046875
2025-08-21,224.26551818847656,501.06658935546875,199.18179321289062,221.9499969482422,736.6854858398438,285.9986572265625,47.23114013671875,76.60630798339844,701.822021484375,91.13284301757812,106.84075164794922,150.95901489257812,92.49608612060547,32.911033630371094,43.65717697143555,174.56822204589844,24.47388458251953,295.4376525878906,83.2952880859375,203.19627380371094,155.3466796875,68.71397399902344,143.30616760253906,97.37466430664062,965.587890625
2025-08-22,227.11744689941406,504.037841796875,205.5037384033203,228.83999633789062,752.32421875,290.6790771484375,48.425132751464844,77.85633087158203,727.2500610351562,93.76083374023438,108.84590911865234,153.5113983154297,94.4478988647461,34.663177490234375,44.90144348144531,174.91944885253906,24.606998443603516,299.4014892578125,84.54354858398438,204.26318359375,155.28794860839844,68.19856262207031,143.94102478027344,96.25141906738281,954.4949340820312
2025-08-25,226.51914978027344,501.0865173339844,207.8969268798828,227.94000244140625,750.839111328125,289.3642578125,48.425132751464844,78.92919921875,724.2112426757812,93.50492858886719,109.29584503173828,153.53079223632812,95.81415557861328,34.702110290527344,45.45989227294922,174.0609130859375,23.903396606445312,296.9082336425781,82.55018615722656,201.30494689941406,152.82167053222656,67.0316162109375,142.5558624267578,95.49595642089844,937.6065063476562
2025-08-26,228.6630859375,498.8804931640625,206.5507354736328,228.7100067138672,751.636474609375,292.9653625488281,49.178714752197266,80.22844696044922,734.1707153320312,94.21359252929688,109.05131530761719,152.71559143066406,94.71139526367188,34.380882263183594,45.1071891784668,173.4515838623047,23.6942195892334,292.59381103515625,82.24053955078125,202.090576171875,152.6455078125,66.83712005615234,141.4015655517578,95.47608947753906,937.3676147460938
2025-08-27,229.8397674560547,503.5508728027344,206.88978576660156,229.1199951171875,744.9384765625,293.6620178222656,49.305946350097656,81.20288848876953,734.8765258789062,95.34549713134766,110.28375244140625,154.5401153564453,95.54090881347656,35.02333450317383,45.920372009277344,173.7464141845703,23.836841583251953,295.9538269042969,81.35030364990234,201.79959106445312,153.6144256591797,66.93437194824219,142.01718139648438,95.50590515136719,945.5130615234375
2025-08-28,231.9039306640625,506.4326477050781,211.03794860839844,231.60000610351562,748.65625,295.4184265136719,49.41360092163086,80.6910629272461,736.3959350585938,95.29627990722656,110.8706283569336,154.6177520751953,96.07765197753906,35.51003646850586,46.547401428222656,172.42947387695312,23.38995933532715,294.4053039550781,80.51812744140625,201.663818359375,152.33233642578125,66.47731018066406,141.38232421875,95.53572845458984,940.9722900390625
2025-08-29,231.485107421875,503.501220703125,212.30435180664062,229.0,736.286865234375,295.7618713378906,49.658267974853516,80.8879165649414,734.4544677734375,95.05021667480469,111.79006958007812,155.85997009277344,96.58512115478516,35.86046600341797,46.64537811279297,174.119873046875,23.542091369628906,301.7875671386719,81.398681640625,204.06919860839844,153.6927032470703,67.08995819091797,142.98870849609375,96.40052032470703,939.3391723632812
2025-09-02,229.0719451904297,501.9410705566406,210.74879455566406,225.33999633789062,732.7085571289062,294.07415771484375,49.3450927734375,80.49420166015625,720.2630004882812,93.28838348388672,112.18131256103516,157.0536651611328,96.6046371459961,34.94546127319336,47.07646179199219,174.99453735351562,23.75126838684082,300.7454833984375,82.71469116210938,205.54345703125,154.62246704101562,67.15802764892578,144.556640625,97.26532745361328,934.8582153320312
2025-09-03,237.79725646972656,502.1696472167969,230.00384521484375,225.99000549316406,734.6422119140625,293.8877258300781,48.99277114868164,79.2441635131836,719.977294921875,93.5344467163086,109.4621353149414,153.39492797851562,92.36922454833984,34.34202575683594,45.36191940307617,174.93557739257812,23.570615768432617,299.8494873046875,81.45674896240234,205.48526000976562,154.79861450195312,67.08995819091797,142.97911071777344,98.84583282470703,945.77197265625
2025-09-04,239.10353088378906,504.7731628417969,231.63917541503906,235.67999267578125,746.2042846679688,298.1168212890625,49.54082489013672,80.54341888427734,738.0516357421875,95.55219268798828,109.94140625,153.03585815429688,93.46222686767578,35.33303451538086,45.6656379699707,175.6824951171875,23.33291244506836,302.2842712402344,81.3309555053711,206.59095764160156,155.79689025878906,66.37034606933594,141.29576110839844,100.32691955566406,951.8660888671875
2025-09-05,239.01380920410156,491.8847961425781,234.33152770996094,232.3300018310547,749.9918823242188,288.8540344238281,48.979881286621094,77.71854400634766,727.5164184570312,93.89862823486328,106.84075164794922,149.12478637695312,90.71018981933594,35.1466064453125,44.97981643676758,175.35816955566406,23.656187057495117,307.16363525390625,81.96959686279297,206.1641845703125,156.60919189453125,66.08832550048828,142.19229125976562,99.90943908691406,959.4141235351562
